Date,Time,Sender,Receiver,Message
Jan-28,3:45pm,jack,lottie,"Hi babe, did you get home ok last night?"
Jan-28,3:56pm,lottie,jack,Yes. Thanks for waiting for me until my mum showed up.
Jan-28,4:01pm,jack,lottie,It's fine :) What are you up to this weekend?
Jan-28,4:10pm,lottie,jack,I have to look after my little brother as my mum is at work. How about you?
Jan-28,4:13pm,jack,lottie,"Not much really, will probably see some mates later. Hey, maybe we could meet up sometime?"
Jan-28,4:20pm,lottie,jack,That would be fab.
Jan-28,4:23pm,jack,lottie,"Ok, I'll message you soon. It was great to meet you last night :)"
Jan-28,5:02pm,jack,sarah,"Hey Sarah, did you get home safe? It was cool seeing you at the party last night ;)"
Jan-28,5:15pm,sarah,jack,Yeah, I got home fine. Thanks for checking in :)
Jan-29,9:55am,jack,lottie,Morning sleepy babe. How are you today?
Jan-29,10:05am,lottie,jack,"I'm good, how are you?"
Jan-29,10:07am,jack,lottie,I'm good. I've been thinking about you. Do you want to meet up on Wednesday?
Jan-29,10:10am,lottie,jack,Love to :) What time?
Jan-29,10:12am,jack,lottie,What time do you finish school?
Jan-29,10:16am,lottie,jack,03:30
Jan-29,10:18am,jack,lottie,Meet you in the rec at 4pm then?
Jan-29,10:20am,lottie,jack,Gr8.
Jan-29,10:22am,jack,lottie,See you then. I can't wait.
Jan-29,10:30am,jack,sarah,How about you, Sarah? Free next week? Maybe we could hang out after school? ;)
Jan-29,10:35am,sarah,jack,Yeah, sounds fun. When were you thinking?
Jan-29,10:40am,jack,sarah,How about Tuesday?
Jan-29,10:42am,sarah,jack,Works for me :)
Jan-30,6:04pm,jack,lottie,"Hi Lottie, need some company tonight? ;)"
Jan-30,6:12pm,lottie,jack,Are you offering?!
Jan-30,6:16pm,jack,lottie,Can I come round?
Jan-30,6:24pm,lottie,jack,"I would like you to, but I don’t think mum would be happy as I'm babysitting. How are you?"
Jan-30,6:32pm,jack,lottie,"Pretty good thanks, how about you?"
Jan-30,6:35pm,lottie,jack,"I'm good, just a bit bored."
Jan-30,6:40pm,jack,lottie,I'm really looking forward to seeing you on Weds.
Jan-30,6:45pm,lottie,jack,Me too :)
Jan-30,6:49pm,jack,lottie,Are you going to be wearing what you wore at the disco?!
Jan-30,6:52pm,lottie,jack,"LOL no, I'll be in my school uniform unfortunately. :/"
Jan-30,6:55pm,jack,lottie,Even better! ;)
Jan-30,7:05pm,jack,sarah,"Hey Sarah, what are you wearing right now? ;)"
Jan-30,7:10pm,sarah,jack,Haha, why?
Jan-30,7:15pm,jack,sarah,Just curious. You looked good in your outfit last night.
Feb-01,7:01pm,jack,lottie,I had such a good time this afternoon. I wish we could have spent longer together.
Feb-01,7:15pm,lottie,jack,"Me too. Sorry I had to leave, but mum doesn't like me staying out late."
Feb-01,7:19pm,jack,lottie,"I totally understand, I just wish I could be with you ALL the time."
Feb-01,7:21pm,lottie,jack,That's sweet.
Feb-01,7:25pm,jack,lottie,Well, I think you're really sweet. When can we meet up again?
Feb-01,7:28pm,lottie,jack,I'm not sure. Maybe the weekend?
Feb-01,7:35pm,jack,sarah,So, any chance we can meet sooner? ;)
Feb-01,7:40pm,sarah,jack,Maybe Friday? What do you want to do?
Feb-01,7:43pm,jack,sarah,"I'll think of something fun... ;) How about something private?"
Feb-01,7:45pm,sarah,jack,We’ll see...
Feb-02,8:03pm,jack,lottie,"Hi Lottie, how are you? I can't stop thinking about (all) of you. I think you're amazing."
Feb-02,8:10pm,lottie,jack,I'm really good. I keep thinking about you too.
Feb-02,8:14pm,jack,lottie,What sort of things are you thinking? I keep thinking about how pretty you are.
Feb-02,8:22pm,lottie,jack,I'm blushing! Do you really think that?
Feb-02,8:26pm,jack,lottie,Of course. You're beautiful. I love your hair. Gorg!
Feb-02,8:30pm,lottie,jack,No one has ever said that to me before. Apart from my mum! lol
Feb-02,8:35pm,jack,lottie,Well, it's the truth.
Feb-03,8:20pm,jack,sarah,"I was thinking about you today. I really want to see more of you, if you know what I mean... ;)"
Feb-03,8:25pm,sarah,jack,Haha, maybe... ;)
Feb-03,8:30pm,jack,sarah,Just a little something to keep me going until we meet up again?
Feb-03,8:32pm,sarah,jack,We'll see what I can do... ;)
Feb-05,5:10pm,lottie,jack,What did you mean then?
Feb-05,5:15pm,jack,lottie,"I meant that I wish I could see more of your body, if you know what I mean... ;)"
Feb-05,5:28pm,lottie,jack,Oh I see! blushes
Feb-05,6:30pm,sarah,jack,"I was thinking about what you said the other day... Maybe I could send you something soon."
Feb-05,6:32pm,jack,sarah,"That would be amazing, Sarah. I'd love to see you. I think you're so special. Just between us. ;)"
