Date,Time,Sender,Receiver,Message
February 28,3:45pm,jack,lottie,"Hi babe, did you get home ok last night?"
February 28,3:56pm,lottie,jack,Yes. Thanks for waiting for me until my mum showed up.
February 28,4:01pm,jack,lottie,Its fine :) What are you up to this weekend?
February 28,4:10pm,lottie,jack,I have to look after my little brother as my mum is at work. How about you?
February 28,4:13pm,jack,lottie,"Not much really, will probably see some mates later. Hey maybe we could meet up sometime?"
February 28,4:20pm,lottie,jack,That would be fab.
February 28,4:23pm,jack,lottie,"Ok, I'll message you soon. It was great to meet you last night :)"
March 1,9:55am,jack,lottie,Morning sleepy babe. How are you today?
March 1,10:05am,lottie,jack,"I'm good, how are you?"
March 1,10:07am,jack,lottie,I'm good. I've been thinking about you. Do you want to meet up on Wednesday?
March 1,10:10am,lottie,jack,Love to :) What time?
March 1,10:12am,jack,lottie,What time do you finish school?
March 1,10:16am,lottie,jack,03:30
March 1,10:18am,jack,lottie,Meet you in the rec at 4pm then?
March 1,10:20am,lottie,jack,Gr8.
March 1,10:22am,jack,lottie,See you then. I can't wait.
March 2,6:04pm,jack,lottie,"Hi Lottie, need some company tonight? ;)"
March 2,6:12pm,lottie,jack,Are you offering?!
March 2,6:16pm,jack,lottie,Can I come round?
March 2,6:24pm,lottie,jack,"I would like you to, but I dont think mum would be happy as I'm babysitting. How are you?"
March 2,6:32pm,jack,lottie,"Pretty good thanks, how about you?"
March 2,6:35pm,lottie,jack,"I'm good, just a bit bored."
March 2,6:40pm,jack,lottie,I'm really looking forward to seeing you on Weds.
March 2,6:45pm,lottie,jack,Me too :)
March 2,6:49pm,jack,lottie,Are you going to be wearing what you wore at the disco?!
March 2,6:52pm,lottie,jack,"LOL no, I'll be in my school uniform unfortunately. :/"
March 2,6:55pm,jack,lottie,Even better! ;)
March 2,7:00pm,lottie,jack,"My mums back, I've got to go. See you on Weds :)"
March 2,7:03pm,jack,lottie,"Bye babes, can't wait to see you."
April 1,7:01pm,jack,lottie,I had such a good time this afternoon. I wish we could have spent longer together.
April 1,7:15pm,lottie,jack,"Me too. Sorry I had to leave, but mum doesn't like me staying out late."
April 1,7:19pm,jack,lottie,"I totally understand, I just wish I could be with you ALL the time."
April 1,7:21pm,lottie,jack,That's sweet.
April 1,7:25pm,jack,lottie,Well I think your're really sweet. When can we meet up again?
April 1,7:28pm,lottie,jack,I'm not sure. Maybe the weekend?
April 1,7:33pm,jack,lottie,"How about Saturday? I really wanted to kiss you today, but I wasn't sure if you wanted me to."
April 1,7:40pm,lottie,jack,blushing
April 1,7:43pm,jack,lottie,So how about Saturday then? Can we make it a date for a kiss?
April 1,7:49pm,lottie,jack,Yes. I'd like that.
April 1,7:52pm,jack,lottie,Great :) xxx
April 2,8:03pm,jack,lottie,"Hi Lottie, how are you? I can't stop thinking about (all) of you. I think you are amazing."
April 2,8:10pm,lottie,jack,I'm really good. I keep thinking about you too.
April 2,8:14pm,jack,lottie,What sort of things are you thinking? I keep thinking about how pretty you are.
April 2,8:22pm,lottie,jack,I'm blushing! Do you really think that?
April 2,8:26pm,jack,lottie,Of course. You are beautiful. I love your hair. Gorg!
April 2,8:30pm,lottie,jack,No one has ever said that to me before. Apart from my mum! lol
April 2,8:35pm,jack,lottie,Well its the truth.
April 2,8:40pm,lottie,jack,Thanks. I think you are great too.
April 2,8:43pm,jack,lottie,That makes me really happy to know that.
April 2,8:46pm,lottie,jack,:)
April 3,7:45pm,jack,lottie,I'm really looking forward to seeing you tomorrow.
April 3,7:55pm,lottie,jack,Me too!
April 3,8:01pm,jack,lottie,What shall we do?
April 3,8:08pm,lottie,jack,"I don't mind really, you choose :)"
April 3,8:12pm,jack,lottie,How about we grab a bite somewhere together?
April 3,8:15pm,lottie,jack,Sounds perfect.
April 5,4:55pm,jack,lottie,Had such a great time yesterday. I wish I could see more of you.
April 5,4:59pm,lottie,jack,I did too. How about we meet up next week?
April 5,5:05pm,jack,lottie,That wasn't quite what I mean't ;)
April 5,5:10pm,lottie,jack,What did you mean then?
April 5,5:15pm,jack,lottie,"I meant that I wish I could see more of your body, if you know what I mean... ;)"
April 5,5:28pm,lottie,jack,Oh I see! blushes
April 5,5:31pm,jack,lottie,So what do you say? Will you take some special pictures of yourself for me?
April 5,5:45pm,lottie,jack,Hmm I'm not sure. I'd feel embarrassed. What if someone else saw them?
April 5,5:48pm,jack,lottie,Theres nothing to be embarrassed about. You are beautiful. I just really want to see whats under your clothes.
April 5,6:10pm,lottie,jack,"Um, I'm not sure I'm ready..."
April 5,6:12pm,jack,lottie,"Ok, thats ok, but I just wanted to tell you what I wanted... Shall we meet up next week then? Are you free after school on Tuesday?"
April 5,6:15pm,lottie,jack,"Yes, I am. Where shall we meet?"
April 5,6:18pm,jack,lottie,How about the coffee shop round the corner from your school?
April 5,6:22pm,lottie,jack,"Yep ok, see you there about 4?"
April 5,6:25pm,jack,lottie,Perfect. Can't wait. Xxx
April 7,7:58pm,jack,lottie,It was great seeing you today. I can't stop thinking about how cute you are. I really WANT you babes.
April 7,8:20pm,lottie,jack,Aw that is really sweet! I had lots of fun today.
April 7,8:23pm,jack,lottie,When can we get together again?
April 7,8:26pm,lottie,jack,The weekend?
April 7,8:28pm,jack,lottie,But that's ages way! :(
April 7,8:35pm,lottie,jack,"I know, but I can't risk staying out after school when mums not working as she will ask me where I've been."
April 7,8:36pm,jack,lottie,:(
April 7,8:38pm,lottie,jack,I'm sorry :(
April 8,5:20pm,lottie,jack,My friends really want to meet you. They have heard so much about you! Can we all hang out together on Sat?
April 8,5:45pm,jack,lottie,Hmm I'm not sure. I like having you ALL to myself. Xx
April 8,5:50pm,lottie,jack,Ok. Soon though?
April 8,6:01pm,jack,lottie,Yeah maybe.
April 9,9:10pm,jack,lottie,"Was really nice chatting to you on the phone tonight. I like talking online, but I like hearing your voice better. I like seeing you EVEN BETTER! ;) xxx"
April 9,9:23pm,lottie,jack,Well you'll see me Saturday :)
April 9,9:25pm,jack,lottie,"I can't wait to be able to see you and touch you. I miss you. Sweet dreams baby, dream of me! ;) xxx"
April 9,9:30pm,lottie,jack,I will. Night night xxx
April 10,8:35am,jack,lottie,I can't wait to see you tomorrow. I mean really I can't wait. Can you send me some pics so I can see you right now?
April 10,8:39am,lottie,jack,I'm just on my way to school so I can't right now!
April 10,8:41am,jack,lottie,"Ok. How about when you get home then, and you are getting changed out of your uniform? ;)"
April 10,4:01pm,jack,lottie,"Hey babe, have you taken any special pics just for me yet?"
April 10,4:10pm,lottie,jack,No I've just got in from school.
April 10,4:12pm,jack,lottie,"Ok. Well when you get changed you can take some then. I want to see what you look like under your clothes ;) Send them to me via quicksnap as then they will be totally private. The message only lasts 10 seconds then gets deleted, so it will be for my eyes only. You are beautiful and I'm really missing you."
April 10,4:22pm,lottie,jack,I'm not sure. I'll think about it.
April 10,4:24pm,jack,lottie,Ok babe. Just don't think too long. I dont think I can wait!
April 10,5:56pm,lottie,jack,Hey gorgeous, are you going to send me those pics? I'll send you one of me if that would help make you feel more comfortable? You know you can trust me right? I really care about you. And remember its just between us.
April 10,6:15pm,jack,lottie,Did you get my pic? Did you like it? I really want to see you now.
April 10,6:30pm,lottie,jack,Yes I got it. And yes, wow, I liked it. I'm just worried as I've never done this before.
April 10,6:31pm,jack,lottie,Don't worry about a thing. I think you are amazing and I just really want to see some pics of you, that no one else has seen, as I'm really missing you xxxx
April 11,9:34am,jack,lottie,Sorry for putting that message up on your wall - I meant to send it privately. And now your friends have seen it.
April 11,9:39am,lottie,jack,No it ok. I like showing you off anyway! ;)
April 11,9:41am,jack,lottie,That's cool with me! I'll see you soon for lunch :) xxx
April 14,7:35am,lottie,jack,I just tried calling you but your phone was switched off :/ I just wanted to say wow, thanks so much for the card and present. Did you mean what you said in the card?
April 14,9:05am,jack,lottie,Of course baby. I love you. I wish I could see all of you today. Maybe you could send me a pic of you wearing the necklace I gave you....and nothing else xxxx
April 14,9:14am,lottie,jack,I love you too. Maybe when I am alone I'll take some pics Xxx
April 14,9:19am,jack,lottie,That would be amazing :) xxx
April 15,8:30am,lottie,jack,Hi handsome, how are you? My mum saw the necklace you sent me yesterday and she wanted to know who sent it. I couldn't think of a lie so I told her the truth. :/ I hope thats ok. She really wants to meet you. She asked if you could come round for dinner on Friday?
April 15,8:45am,jack,lottie,I don't know Lottie... I told you it was best if she didn't know about us.
April 15,8:48am,lottie,jack,I know you did, but I thought as we are serious now she needed to know. It will be much easier not having to keep a secret too. So will you come? I'm sure she will love you as much as I do xx
