chloe,lottie,1223,"Boys in our class are nice and fun, but a bit...boring.",January 18 at 8:23pm,55
lottie,chloe,1233,IKR? We need to go out and meet boys from other schools.,January 18 at 8:33pm,56
chloe,lottie,1240,Totally! Life would be much more exciting then!,January 18 at 8:40pm,47
lottie,chloe,14342,OMG! I met this amazing guy tonight!,January 27 at 11:02pm,36
chloe,lottie,14346,What?! When?!,January 27 at 11:06pm,13
lottie,chloe,14350,"After you left I was waiting for mum to pick me up, and he waited with me!",January 27 at 11:10pm,74
chloe,lottie,14354,OMG!! Is he hot?!,January 27 at 11:14pm,17
lottie,chloe,14356,So hot! Not like the boys at school! I'll tell you all about it tomorrow!,January 27 at 11:16pm,73
lottie,chloe,15001,OMG! You know that guy from last night? He just sent me a friend request!,January 28 at 10:01am,73
chloe,lottie,15004,OMG! What are you doing to do?,January 28 at 10:04am,30
lottie,chloe,15007,Accept it of course!,January 28 at 10:07am,20
chloe,lottie,15010,Wow! How old is he?,January 28 at 10:10am,19
lottie,chloe,15012,"18, but he only just turned 18 so he was allowed at the club last night. He actually looks a bit older though!",January 28 at 10:12am,110
chloe,lottie,15015,Did you see him in there?,January 28 at 10:15am,25
lottie,chloe,15018,"I don't think so, but he must have been in there somewhere! Not sure how I missed him, hes really hot!!",January 28 at 10:18am,103
chloe,lottie,15022,Well it was kind of dark in there!,January 28 at 10:22am,34
jack,lottie,15345,"Hi babe, did you get home ok last night?",January 28 at 3:45pm,40
lottie,jack,15356,Yes. Thanks for waiting for me until my mum showed up.,January 28 at 3:56pm,54
jack,lottie,15361,Its fine :) What are you up to this weekend?,January 28 at 4:01pm,44
lottie,jack,15370,I have to look after my little brother as my mum is at work. How about you?,January 28 at 4:10pm,75
jack,lottie,15373,"Not much really, will probably see some mates later. Hey maybe we could meet up sometime?",January 28 at 4:13pm,89
lottie,jack,15380,That would be fab.,January 28 at 4:20pm,18
jack,lottie,15383,"Ok, I'll message you soon. It was great to meet you last night :)",January 28 at 4:23pm,65
lottie,chloe,15387,Jack sent me a message!,January 28 at 4:27pm,23
chloe,lottie,15395,"Oooh, what did he say?",January 28 at 4:35pm,22
lottie,chloe,15399,He wanted to make sure I got back ok last night. He also asked if we can meet up!!!,January 28 at 4:39pm,83
chloe,lottie,15403,OMG! What did you say?,January 28 at 4:43pm,22
lottie,chloe,15410,"I said yes of course!! He is soo nice, and so good looking! Hes really mature too. Nothing like the boys at school.",January 28 at 4:50pm,115
chloe,lottie,15415,"Yeah, well he is older so its not surprising! It is exciting though! Where are you going to meet? What will you do? Are you nervous?!",January 28 at 4:55pm,133
lottie,chloe,15421,I'm not sure yet. Buy yes I am kind of nervous. But really excited too!!,January 28 at 5:01pm,72
jack,lottie,16435,Morning sleepy babe. How are you today?,January 29 at 9:55am,39
lottie,jack,16445,"I'm good, how are you?",January 29 at 10:05am,22
jack,lottie,16447,I'm good. I've been thinking about you. Do you want to meet up on Wednesday?,January 29 at 10:07am,76
lottie,jack,16450,Love to :) What time?,January 29 at 10:10am,21
jack,lottie,16452,What time do you finish school?,January 29 at 10:12am,31
lottie,jack,16456,3:30,January 29 at 10:16am,4
jack,lottie,16458,Meet you in the rec at 4pm then?,January 29 at 10:18am,32
lottie,jack,16460,Gr8.,January 29 at 10:20am,4
jack,lottie,16462,See you then. I can't wait.,January 29 at 10:22am,27
lottie,chloe,16470,"You won't believe this! Jack just asked me to meet up on Weds! We are going to the rec. I am so excited, but I'm really nervous. What if he doesn't like me? What if he thinks I'm a silly little kid?",January 29 at 10:30am,198
chloe,lottie,16481,"Eeek, thats so exciting! Why don't you glam up to look older?! I could do your eyeliner for you as I'm good at that!",January 29 at 10:41am,116
lottie,chloe,16485,That would be awesome! Thanks! Do you think its a date?,January 29 at 10:45am,55
chloe,lottie,16488,Yeah it must be?! What does your mum think?,January 29 at 10:48am,43
lottie,chloe,16495,OMG. I haven't told mum. Shes hardly here anyway!,January 29 at 10:55am,49
chloe,lottie,16498,Won't she ask who he is ok iSocialike?,January 29 at 10:58am,38
lottie,chloe,16502,"Haha, no she doesn't use iSocialike! She doesn't have a clue!",January 29 at 11:02am,61
chloe,lottie,16505,Thats lucky!,January 29 at 11:05am,12
lottie,chloe,16507,Yep!,January 29 at 11:07am,4
